UserID,SignupDate,SignupDay,SignupTime,Age,Gender,City,State,Country,Language,DeviceType,DeviceModel,OSDetails,AppVersion,ISP,AcquisitionSource,Campaign,Adgroup,FirstEventName,LandingPageViewed,ProfileCompleted,NotificationPermissionGiven,FirstSessionDurationSec,FirstSessionEventCount,ViewedPricingPage,ViewedServicePage,UsedSearch,AddedWalletMoneyOnSignupDay,SignupWalletBalance,DevicePriceTier,AcquisitionCostBucket,SignupIntentScore,PremiumDeviceFlag,HighIntentFirstSessionFlag,PaidAcquisitionFlag
200000,2025-02-14,Mon,Morning,18,Male,Hyderabad,Maharashtra,India,Telugu,Web,Oppo F21,Android 12,2.0.0,Vi,affiliate,organic,A,view_service,1,1,1,177.0,5,0,1,0,0,34.49,Mid,Medium,3.5,0,0,1
200001,2024-12-12,Wed,Night,41,Female,Bengaluru,Rajasthan,India,English,iOS,OnePlus Nord,Android 12,1.1.0,BSNL,meta,remarketing,C,signup,0,0,1,295.0,10,1,0,1,0,19.55,Mid,Low,3.5,0,0,1
200002,2025-08-26,Sat,Afternoon,21,Male,Chennai,West Bengal,India,Tamil,Android,Oppo F21,Android 13,1.0.1,Other,crm,organic,E,notification_open,1,0,1,193.0,9,1,1,0,0,95.8,Mid,Low,2.7,0,0,0
200003,2026-03-18,Mon,Morning,29,Female,Jaipur,Maharashtra,India,Telugu,Android,Samsung A14,iOS 17,2.1.1,ACT,affiliate,brand_search,B,notification_open,1,1,1,683.0,4,1,0,0,0,47.95,Mid,Medium,4.5,0,1,1
200004,2025-05-20,Thu,Morning,24,Female,Kolkata,West Bengal,India,English,Android,Oppo F21,Android 14,1.2.3,Other,meta,lookalike,D,view_home,1,0,1,86.0,8,0,1,1,0,36.01,Low,Medium,2.5,0,0,1
200005,2026-03-18,Mon,Night,50,Male,Mumbai,MP,India,Bengali,Android,Oppo F21,Android 13,1.1.0,Jio,referral,welcome_offer,C,view_home,0,1,0,148.0,9,0,1,1,0,117.96,Mid,Low,4.5,0,1,0
200006,2026-03-21,Thu,Evening,40,Female,Indore,Maharashtra,India,Telugu,Android,Redmi Note,iOS 17,2.1.1,Other,organic,install_campaign,B,app_launch,1,1,0,91.0,8,0,1,0,0,275.96,Mid,Low,3.5,0,0,0
200007,2025-03-09,Wed,Evening,49,Female,Pune,Karnataka,India,Hindi,Android,Oppo F21,Android 14,1.1.0,Airtel,organic,organic,D,signup,1,0,1,331.0,7,0,1,0,0,23.06,Low,Low,2.8,0,0,0
200008,2026-05-07,Tue,Afternoon,48,Female,Bengaluru,MP,UAE,Hindi,iOS,iPhone 13,Android 13,2.1.1,BSNL,referral,organic,D,notification_open,1,1,0,270.0,10,0,0,0,0,102.58,Mid,Low,3.3,0,0,0
200009,2025-05-30,Thu,Evening,55,Male,Hyderabad,Maharashtra,UK,Hindi,Android,Redmi Note,iOS 17,1.2.3,Airtel,google,remarketing,C,view_home,1,1,0,236.0,8,1,0,0,0,201.35,Low,Low,3.2,0,0,1
200010,2025-09-05,Wed,Afternoon,28,Female,Hyderabad,Tamil Nadu,India,Tamil,iOS,OnePlus Nord,iOS 16,1.0.1,Other,affiliate,brand_search,C,view_service,1,1,1,95.0,10,1,1,0,0,167.26,Mid,Low,4.7,0,1,1
200011,2026-01-04,Mon,Morning,54,Female,Bengaluru,MP,India,Hindi,iOS,Samsung A14,Android 12,1.0.1,ACT,meta,remarketing,D,view_service,0,1,1,49.0,13,1,1,0,0,219.9,Premium,Medium,5.7,1,1,1
200012,2026-03-30,Tue,Night,56,Female,Pune,Tamil Nadu,India,English,Android,iPhone 13,Android 12,2.0.0,ACT,meta,brand_search,C,app_launch,1,1,1,174.0,7,0,0,0,0,92.71,Mid,Medium,2.0,0,0,1
200013,2025-05-11,Thu,Night,49,Male,Bengaluru,MP,India,Tamil,Android,Oppo F21,iOS 16,2.0.0,Vi,meta,welcome_offer,B,signup,1,1,1,187.0,12,0,0,1,1,137.72,High,Medium,7.0,1,1,1
200014,2025-09-16,Wed,Evening,37,Male,Pune,Telangana,India,Hindi,iOS,iPhone 13,Android 14,1.0.1,Vi,crm,welcome_offer,E,notification_open,1,1,1,95.0,9,0,0,0,1,22.49,Low,Low,5.0,0,1,0
200015,2025-02-05,Tue,Afternoon,53,Female,Kolkata,Maharashtra,India,Hindi,iOS,Samsung A14,Android 14,2.0.0,Jio,crm,brand_search,E,signup,1,0,1,363.0,6,1,1,0,0,65.62,Low,Low,4.0,0,1,0
200016,2025-11-13,Wed,Evening,28,Female,Indore,Maharashtra,India,Tamil,Android,OnePlus Nord,iOS 17,1.0.1,Jio,meta,welcome_offer,A,app_launch,0,0,1,77.0,5,1,0,1,0,154.08,Low,Low,2.2,0,0,1
200017,2025-07-10,Sun,Evening,25,Other,Chennai,Delhi,India,Hindi,Android,Oppo F21,iOS 16,2.0.0,ACT,affiliate,lookalike,B,signup,0,1,1,41.0,5,0,0,0,0,137.04,Mid,Low,2.0,0,0,1
200018,2025-07-14,Fri,Afternoon,23,Female,Indore,MP,India,Telugu,Android,iPhone 13,iOS 17,1.2.3,BSNL,meta,organic,C,promo_click,1,1,1,195.0,6,1,0,0,0,84.92,Low,High,3.2,0,0,1
200019,2025-06-27,Sun,Night,51,Female,Kolkata,Karnataka,India,Tamil,Android,Samsung A14,Android 12,1.2.3,Vi,organic,remarketing,B,view_home,0,1,0,159.0,14,1,0,0,0,140.28,Low,Low,4.2,0,1,0
200020,2025-11-04,Sat,Night,31,Male,Indore,Rajasthan,India,English,Android,OnePlus Nord,iOS 16,1.1.0,BSNL,referral,welcome_offer,C,promo_click,0,0,0,179.0,10,0,1,0,1,155.59,Mid,Medium,4.5,0,1,0
200021,2025-11-25,Mon,Evening,57,Male,Hyderabad,Tamil Nadu,India,English,iOS,OnePlus Nord,iOS 17,1.1.0,ACT,affiliate,install_campaign,A,view_home,0,0,1,413.0,7,0,1,0,0,104.87,Low,Medium,2.8,0,0,1
200022,2025-07-11,Fri,Afternoon,43,Female,Hyderabad,MP,India,Tamil,Android,Redmi Note,Android 14,1.1.0,Airtel,google,welcome_offer,A,signup,1,0,1,97.0,9,0,1,0,0,147.12,Mid,Low,1.5,0,0,1
200023,2026-03-08,Sat,Afternoon,48,Male,Jaipur,Delhi,India,English,iOS,iPhone 13,iOS 17,1.2.3,Jio,organic,remarketing,C,app_launch,1,0,1,36.0,11,0,1,0,0,253.62,High,Medium,2.5,1,0,0
200024,2024-12-11,Sat,Morning,43,Female,Jaipur,Tamil Nadu,UAE,Tamil,iOS,OnePlus Nord,Android 14,2.0.0,Jio,meta,organic,C,view_service,1,0,0,130.0,6,0,1,0,0,201.75,Mid,High,1.5,0,0,1
200025,2025-11-23,Wed,Afternoon,48,Female,Mumbai,Delhi,India,Tamil,iOS,Samsung A14,iOS 16,2.1.1,Other,google,organic,D,view_service,1,1,1,212.0,9,0,1,0,0,66.29,High,Medium,3.5,1,0,1
