UserID,SignupDate,High_Value_Score,Score_Bucket,User_Value_Segment,Recommended_Action
200003,2026-03-18,0.99,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200154,2026-04-04,0.99,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200214,2025-08-24,0.99,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200112,2025-06-02,0.9893,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200153,2026-04-07,0.9848,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200130,2026-01-08,0.9842,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200197,2025-06-23,0.9799,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200042,2025-06-24,0.962,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200073,2025-12-25,0.9523,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200174,2025-07-08,0.952,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200189,2025-01-04,0.9486,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200167,2026-03-27,0.9428,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200114,2026-04-12,0.9372,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200095,2025-11-20,0.9332,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200064,2025-12-28,0.9307,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200243,2025-04-29,0.9249,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200191,2025-12-01,0.9247,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200025,2025-11-23,0.9224,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200119,2025-05-02,0.9197,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200223,2026-02-24,0.9141,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200230,2025-01-26,0.9044,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200132,2026-01-25,0.9032,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200052,2025-05-02,0.9017,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200196,2026-05-24,0.8992,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200060,2025-01-19,0.8991,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
